City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,taroa,8.7058,171.2275,300.25,85,100,10.78,MH,2023-11-11
1,hawaiian paradise park,19.5933,-154.9731,295.75,92,99,4.01,US,2023-11-11
2,blackmans bay,-43.0167,147.3167,290.22,68,60,0.45,AU,2023-11-11
3,badger,64.8,-147.5333,261.07,98,93,0.58,US,2023-11-11
4,isola di capo rizzuto,38.96,17.0933,288.81,71,8,9.52,IT,2023-11-11
5,lensk,60.7253,114.9278,265.92,80,100,6.16,RU,2023-11-11
6,iskateley,67.6803,53.1512,264.27,93,96,3.13,RU,2023-11-11
7,port mathurin,-19.6833,63.4167,298.07,79,10,4.82,MU,2023-11-11
8,sitka,57.0531,-135.33,280.09,76,100,7.2,US,2023-11-11
9,longyearbyen,78.2186,15.6401,262.06,79,75,2.06,SJ,2023-11-11
10,georgetown,5.4112,100.3354,300.12,94,20,2.06,MY,2023-11-11
11,yellowknife,62.456,-114.3525,274.49,100,100,3.6,CA,2023-11-11
12,waitangi,-43.9535,-176.5597,285.83,73,82,1.34,NZ,2023-11-11
13,bel ombre,-4.6167,55.4167,301.06,78,40,2.57,SC,2023-11-11
14,vilyuchinsk,52.9306,158.4028,274.22,99,100,0.91,RU,2023-11-11
15,chonchi,-42.6128,-73.8092,282.1,97,100,5.87,CL,2023-11-11
16,side,36.7667,31.3885,293.4,76,5,2.21,TR,2023-11-11
17,geraldton,-28.7667,114.6,299.38,27,100,8.23,AU,2023-11-11
18,punta arenas,-53.15,-70.9167,281.21,76,100,4.63,CL,2023-11-11
19,puerto ayora,-0.7393,-90.3518,297.34,92,30,5.36,EC,2023-11-11
20,ilulissat,69.2167,-51.1,267.16,68,100,6.69,GL,2023-11-11
21,port-aux-francais,-49.35,70.2167,275.92,92,100,15.47,TF,2023-11-11
22,udachny,66.4167,112.4,266.18,44,96,5.27,RU,2023-11-11
23,along,28.1667,94.7667,292.09,50,6,0.54,IN,2023-11-11
